ID;ZMED;HX;RESIDUE
450;-0.19637;-0.194705;-0.00166562
451;-0;1.92823e-09;-1.92823e-09
452;0.0075;0.00750114;-1.14259e-06
453;0.007;0.00700638;-6.38384e-06
454;0;3.18521e-09;-3.18521e-09
455;0.0075;0.00750196;-1.96252e-06
456;0.007;0.00701107;-1.107e-05
457;-0;4.54252e-09;-4.54252e-09
458;0.004;0.00400078;-7.80893e-07
459;0;8.52327e-08;-8.52327e-08
460;0.004;0.00400026;-2.60397e-07
461;0;5.20884e-09;-5.20884e-09
462;-0;1.29837e-08;-1.29837e-08
463;-0;1.23019e-07;-1.23019e-07
464;-0;4.84331e-09;-4.84331e-09
465;0;9.68374e-09;-9.68374e-09
466;0;1.70734e-07;-1.70734e-07
467;-0;3.38971e-09;-3.38971e-09
468;0.001;0.000999946;5.36614e-08
469;-0;3.32379e-07;-3.32379e-07
470;0.0085;0.00850074;-7.36211e-07
471;0.0435;0.0435113;-1.13112e-05
472;0.035;0.0350025;-2.45536e-06
473;0;2.40462e-08;-2.40462e-08
474;0.011;0.0109897;1.03352e-05
475;0.001;0.00100158;-1.57516e-06
476;0.01;0.00999715;2.8476e-06
477;0.0015;0.00150039;-3.85404e-07
478;-0;-3.92513e-08;3.92513e-08
479;0.001;0.00100182;-1.818e-06
480;0.0065;0.00650331;-3.31057e-06
481;0.005;0.0049941;5.89618e-06
482;0.01;0.0102101;-0.00021005
483;0.0015;0.00150033;-3.28764e-07
484;0.0005;0.00049975;2.50192e-07
485;0.0015;0.00150898;-8.98231e-06
486;0.005;0.00500158;-1.58335e-06
487;0.009;0.0089901;9.90478e-06
488;0.031;0.0308909;0.000109118
489;0.012;0.0120033;-3.2649e-06
490;0.0085;0.00849504;4.9595e-06
491;0.011;0.0109965;3.48301e-06
492;0.007;0.00699933;6.72527e-07
493;0.0115;0.011501;-9.99896e-07
494;0.0125;0.0124964;3.57492e-06
495;0.007;0.00699953;4.71005e-07
496;0.0025;0.0025003;-2.9625e-07
497;0;-1.7157e-08;1.7157e-08
498;0;-3.93433e-08;3.93433e-08
499;0.1075;0.107871;-0.000371136
500;0.111;0.110799;0.000201414
501;0.1105;0.108003;0.00249732
502;0;9.88287e-09;-9.88287e-09
503;0.0115;0.0114994;6.12809e-07
504;0.0055;0.00548723;1.2774e-05
505;0.016;0.0160121;-1.21418e-05
506;0.0215;0.0215023;-2.34683e-06
507;0.016;0.0158407;0.000159308
508;0;3.92561e-09;-3.92561e-09
509;2e-11;-5.44497e-09;5.46497e-09
510;1e-11;2.78193e-07;-2.78183e-07
511;-0;1.03686e-07;-1.03686e-07
512;0;-1.27263e-07;1.27263e-07
513;-0;7.29046e-07;-7.29046e-07
514;0;9.32647e-08;-9.32647e-08
515;0.001;0.000999639;3.61303e-07
516;-0;6.1243e-07;-6.1243e-07
517;0.001;0.00099988;1.20393e-07
518;0.003;0.00300088;-8.79813e-07
519;0.0045;0.00448989;1.01122e-05
520;0.005;0.00502344;-2.34439e-05
521;0.0275;0.0275288;-2.87688e-05
522;0.024;0.0239499;5.0116e-05
523;0.0545;0.0543431;0.000156883
524;0;1.87032e-09;-1.87032e-09
525;0.007;0.00699798;2.01818e-06
526;0;-2.3814e-09;2.3814e-09
527;0.0005;0.000500008;-8.14876e-09
528;0;5.33013e-08;-5.33013e-08
529;-0;-3.14277e-07;3.14277e-07
530;-0;1.24029e-06;-1.24029e-06
531;0.075;0.0748082;0.000191795
532;0.075;0.0709459;0.00405413
533;0.075;0.0902501;-0.0152501
534;-0;4.41446e-09;-4.41446e-09
535;-3e-11;2.295e-09;-2.325e-09
536;-1e-11;2.24024e-07;-2.24034e-07
537;0;6.90627e-08;-6.90627e-08
538;-1e-11;-1.8633e-07;1.8632e-07
539;-2e-11;8.57779e-07;-8.57799e-07
540;1.05;1.04976;0.00023689
541;1.05;1.05012;-0.000123957
542;1.05;1.04548;0.00452396
543;1.04793;1.0477;0.000229365
544;1.04826;1.04838;-0.000126088
545;1.04771;1.04317;0.0045366
546;1.04654;1.04631;0.000224365
547;1.04714;1.04726;-0.000127513
548;1.04619;1.04165;0.00454488
549;1.02049;1.02036;0.000132113
550;1.02717;1.02733;-0.000152989
551;1.01861;1.01392;0.00469334
552;1.02703;1.02718;-0.000152999
553;0.990491;0.990467;2.48504e-05
554;1.00515;1.00533;-0.000179808
555;0.986363;0.981503;0.00486018
556;0.966884;0.966944;-6.00341e-05
557;0.987798;0.987997;-0.000198793
558;0.960902;0.955914;0.00498743
559;1.03849;1.03856;-6.55381e-05
560;1.01782;1.01802;-0.00020473
561;0.98968;0.984544;0.00513617
562;1.03756;1.03763;-6.56789e-05
563;1.01394;1.01401;-6.93504e-05
